Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Category
-0.35433853403053056,-0.31538157681153295,-0.15378125097414652,-0.2942435681929713,0.057682780058404895,-0.20902078452569098,0.07555634122760131,circulo
-0.348036575267977,-0.2975622109604421,-0.15351073434367007,-0.2939565765784585,0.05768264693389393,-0.20914546267823855,0.07555618218708637,circulo
-0.3557801756076464,-0.3250486614687691,-0.1521751584661318,-0.2937379965086021,0.05768308422072554,-0.20891076158244756,0.0755563232882709,circulo
-0.3474401264265942,-0.3234086961946765,-0.15202512612322705,-0.2914131548685225,0.0576838164539672,-0.20949596205245236,0.07555832788136094,circulo
-0.3249072572491235,-0.2204580856927181,-0.15327436870362376,-0.2929321549418702,0.05768286810669847,-0.20903825831318215,0.0755556936481224,circulo
-0.36926604704687965,-0.3604988543004562,-0.15373459959357513,-0.2946494741548593,0.057682732535096926,-0.20906951263001533,0.07555630435858912,circulo
-0.34112652367941826,-0.27349989073735964,-0.15341615166484823,-0.2938077041148472,0.057682709746856416,-0.20909393509933558,0.07555650892829816,circulo
-0.3660571346435754,-0.35292102110139323,-0.15346143824633607,-0.2945379926487156,0.05768273836002923,-0.2090620404702634,0.07555629445752358,circulo
-0.34820825709778347,-0.29713719626721585,-0.15364306095496572,-0.29357754751704657,0.0576829538877642,-0.20887184595616512,0.07555645755716156,circulo
-0.3693047753719963,-0.36191267264768345,-0.15321648047078631,-0.2946437216306381,0.05768273260824323,-0.20906974736304298,0.0755563059703579,circulo
-0.3565202502577035,-0.3241027939445916,-0.15343136416190936,-0.29440316515788045,0.05768269908960164,-0.20910689381727476,0.07555629122592003,circulo
2.9878015819940886,1.9359612531241073,-0.12996168698348157,3.2498485353901243,0.2320590845814083,4.116809406954571,0.27051449317794857,circulo
-0.3529707618636537,-0.3344528139447464,-0.15103715354945782,-0.29355093641590607,0.05768329743321557,-0.20899042024356776,0.07555632324579513,circulo
-0.33270362515312885,-0.2477831138017031,-0.15401880994550152,-0.29400220009637906,0.05768282691877689,-0.2088850997298588,0.07555633110529109,circulo
-0.3430595170121675,-0.2807025113159216,-0.15383268819843549,-0.2940594414227489,0.05768263473918224,-0.20921815889676418,0.07555628232791095,circulo
-0.3584877983944888,-0.3400281907654398,-0.15248882291811583,-0.29405189128139475,0.05768257596543687,-0.2091492602730383,0.07555622670374097,circulo
-0.3537240736998792,-0.321995996761395,-0.15253547603462883,-0.29429832444359405,0.057682659335347566,-0.20912556680032793,0.07555633837122615,circulo
-0.3626492328212615,-0.35894320033983895,-0.15326482749145914,-0.2939671070730241,0.05768278536574185,-0.20906130313859708,0.07555615206317168,circulo
-0.30380279964198637,-0.1558761273008948,-0.15348661017623128,-0.29263589384574673,0.05768240557349107,-0.20943748694565673,0.07555695415305627,circulo
-0.3533532214946637,-0.31531821831424245,-0.15272309078892132,-0.29364277384143717,0.057683088781466337,-0.20887563297394085,0.07555632296400368,circulo
-0.3332770905436438,-0.24767621669085593,-0.15435067167241173,-0.29449430532642346,0.05768272655108006,-0.20911909336237663,0.07555630921319703,circulo
-0.325627910995743,-0.2292801905200485,-0.1517808621896454,-0.28982590550821247,0.05768554480487459,-0.20835949951138746,0.07555968888584212,circulo
-0.36196776695610505,-0.34175557333682977,-0.15273483740849558,-0.29430152761301237,0.05768277160625867,-0.20904948770670342,0.07555636723463721,circulo
-0.2859408718442335,-0.08919549479537883,-0.15446999662623737,-0.294425017363317,0.057682736859699414,-0.2090243092336138,0.07555630961422885,circulo
-0.3370953499596409,-0.26895546523517816,-0.15275385627911128,-0.29367856979607787,0.05768265597859909,-0.20919409794139046,0.07555661682021106,circulo
-0.3388743754557705,-0.2834312321951911,-0.14947542001219608,-0.2924861675036293,0.05768117593694102,-0.2095138176585802,0.07555533728128419,circulo
-0.26413216079809376,-0.035417025233805306,-0.14642256228376557,-0.26082115706369263,0.057806765650628075,-0.19664154154256508,0.07562578375339048,circulo
-0.3508719283042515,-0.3154222822881185,-0.15100767474877422,-0.2931401279562443,0.05768193500371751,-0.2093226515618399,0.07555671929345271,circulo
-0.3393441105907191,-0.2646880431704611,-0.15406952273598293,-0.29422841438857666,0.05768275518452521,-0.2090215146035867,0.07555634746616957,circulo
-0.3489989687056312,-0.29812591523729187,-0.1540813491095933,-0.29435420445387006,0.05768270407054442,-0.2091377954029561,0.07555631289452967,circulo
-0.35998914575051644,-0.3406998106288986,-0.15305234079978483,-0.29462816172411094,0.0576827341422793,-0.20906573451611782,0.07555630675260579,circulo
-0.3491820847256807,-0.2959968467970357,-0.1541009870035931,-0.29425630422969473,0.057682775439834355,-0.2089785635967062,0.07555629702867206,circulo
-0.3507397965044546,-0.30324127144978874,-0.15387758418939754,-0.2944116412897528,0.057682726157581216,-0.2090942640753109,0.07555632958277736,circulo
-0.27380703945292567,-0.06464994547162856,-0.1489700419189016,-0.27474981833032436,0.05773508830504598,-0.1999061872633087,0.07554478705022448,circulo
-0.2891402862762846,-0.10160672985796768,-0.15399946540401258,-0.29357297490554995,0.057682819330567556,-0.2089379407395123,0.07555612091066252,circulo
-0.3596886101755954,-0.33815780485729363,-0.1519221800683704,-0.29408969152200076,0.05768255490904878,-0.209150114169429,0.07555634165472558,circulo
-0.36746788666261593,-0.36053877231713355,-0.15297553141393389,-0.2945897190733179,0.05768272681869155,-0.20907193777424107,0.07555630114336778,circulo
-0.36711059750245845,-0.35202379181072857,-0.1542346104351222,-0.2946453133171341,0.05768273259442891,-0.2090691024453288,0.07555630535334026,circulo
-0.3565384631596079,-0.3201430541136458,-0.15429375142489418,-0.2944722648116134,0.05768274288228531,-0.2090349392648427,0.07555630669507599,circulo
